Title,Author(s),Publisher,Publish Year,ISBN,OL Work Key,Page Count,Categories,Description,Cover Image
Kendermore,Mary L. Kirchoff,Wizards of the Coast,2003,,https://openlibrary.org/works/OL5610841W,304,Fiction,"Beloved kender Tasslehoff Burrfoot encounters marriage, magic, monsters, and mayhem in this Preludes novel set before the War of the Lance While carousing at the Inn of the Last Home, carefree kender Tasslehoff Burrfoot is snared by a bounty hunter whose assignment is to ensure the return of the light-fingered escape artist to his homeland. It seems his beloved Uncle Trapspringer is being held prisoner by the venerable council of elders—until Tas honors Kender marriage tradition, that is. But before he can say “I do,” Tasslehoff’s betrothed pulls a disappearing act of her own. The race is on to see who gets dragged to the altar first. But not only must Tas dodge matrimony, he must elude a capricious wizard set on pickling one of every creature on Krynn, cheer up the last existing woolly mammoth, foil a most determined and deadly assassin, and—in the end—save Kendermore.",http://books.google.com/books/content?id=_DzteqZO8mMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Brothers Majere,"Stein, Kevin",,2003,,https://openlibrary.org/works/OL3945557W,349,Fiction,"Raistlin, Caramon, and their kender companion, Earwig, investigate the disappearance of cats from the city of Mereklar and a series of murders by a gigantic cat. Reprint.",http://books.google.com/books/content?id=AO8HPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
"Riverwind, the plainsman","Thompson, Paul B.",,1990,,https://openlibrary.org/works/OL4654093W,313,Dragons,,
"Flint, the King",Mary L. Kirchoff,Wizards of the Coast,2003,,https://openlibrary.org/works/OL5610840W,299,Fiction,"When Flint Fireforge becomes the reluctant king of the gully dwarves, he learns the true meaning of heroism and leadership Flint Fireforge, paternal dwarven member of the Heroes of the Lance, returns to his sleepy boyhood village in the foothills near Solace to investigate his brother’s murder. Upon his arrival, he finds Hillhome unexpectedly booming with commerce. But when he stumbles upon the ominous source of this prosperity—an alliance with an enemy dwarf race—he is pushed to the death in the Beast Pit. Even more unexpectedly, the gully dwarves and an interesting—and interested—female dwarf come to his rescue. Made their monarch against his will, Flint struggles to unite the scruffy dwarves into one fighting force that will not only thwart the agents of the Dark Queen but help him bring his brother’s killer to justice.",http://books.google.com/books/content?id=SJ6uGyRyVSoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Kaz the Minotaur,"Richard A. Knaak, Herminia Dauer",Wizards of the Coast,1990,,https://openlibrary.org/works/OL2992960W,271,Fiction,"Old friends become new foes in this follow-up to the New York Times bestseller The Legend of Huma, starring renegade minotaur Kaz After the defeat of the Dark Queen and the death of Huma Dragonbane, Kaz the minotaur wanders throughout Krynn, telling the tale of the land’s most legendary hero. Already hunted by his own kinsmen, he discovers that he has also been declared an outlaw by the Knights of Solamnia, who once hailed him as a hero. But he has no idea why. With old comrades now chasing him as a dreaded enemy, Kaz searches for the truth. But when he hears rumors of evil incidents, he returns to warn the Knights of Solamnia—and is plunged into a dark waking nightmare. Magic and treachery assail him from every side, but it is the ghosts of the past that may prove the most dangerous threat.",http://books.google.com/books/content?id=B6AUfZKNDTYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The gates of Thorbardin,Dan Parkinson,Wizards of the Coast,1991,,https://openlibrary.org/works/OL4323281W,299,Fiction,"Magic and peril run rampant beneath the earth in this Dragonlance Heroes novel about Krynn's forgotten dwarven heroes Legends tell that beneath the mountain fortress of Skullcap lie the remains of the dark wizard Fistandantilus and the path to the gates of the ancient dwarven kingdom of Thorbardin. Buried somewhere along that perilous path is the magical helm of Grallen, son of King Duncan, tragic hero of the Dwarfgate War. Finding Grallen’s helm, it is prophesied, will herald the return of a united Thorbardin—but it will also open the gates of the realm to fresh horror and chaos. Now, one exiled dwarf’s dreams of the fabled helm will lead him on an adventure to glory. Or will it lead to his ultimate doom?",http://books.google.com/books/content?id=M-42AtMo3FcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"Tanis, the Shadow Years","Barbara Siegel, Scott Siegel",Wizards of the Coast,1990,,https://openlibrary.org/works/OL16062621W,295,Fiction,"The sixth and final book in the Preludes series follows Tanis Half-Elven on a dangerous adventure through time and memory The tale is told that Tanis Half-Elven once disappeared in the mountains near Solace. He returned changed, ennobled—and with a secret. No one knew what happened to him in those mist-shrouded peaks. Until now. Accompanied by his new dwarf acquaintance, Clotnik, Tanis chases after information about his mysterious and long-dead father. His search leads him to Kishpa, a dying, lovesick mage who holds the answers to Tanis’ burning questions—but who needs Tanis’ help first. So begins a wild adventure in which Tanis becomes a traveler in Kishpa’s memory, journeying into the past to fight an impossible battle against time itself.",http://books.google.com/books/content?id=5DObEjhZuScC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Galen Beknighted (Dragonlance Heroes II : Vol.3),Michael Williams,Wizards of the Coast,1990,,https://openlibrary.org/works/OL4652737W,0,Fantasy fiction,"When his brother vanishes mysteriously, Galen must set aside his cowardice and venture under the earth to find him.",http://books.google.com/books/content?id=VVJWAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Family (Firstborn),Karen Kingsbury,"Tyndale House Publishers, Inc.",2006,,https://openlibrary.org/works/OL94291W,360,Fiction,"Book 4 in the 5-book Christian fiction series that has sold over 1.5 million copies A story about the search for renewed hope and the desperate need to be loved and to belong, from Karen Kingsbury, the #1 New York Times bestselling author of “heart-tugging and emotional” (Romantic Times) life-changing fiction. A Sensational Trial When Katy Hart travels to Los Angeles to testify against the knife-wielding fan who tried to kill her, she is hunted by paparazzi who quickly realize she is the mystery woman photographed with movie star Dayne Matthews. Tension and pressure build to a dangerous level as Katy and Dayne seek private moments amidst the frenzy. In the end, Dayne’s celebrity life makes Katy certain that a future with him is all but impossible. A Life-Changing Decision As the trial comes to a close, Dayne searches for answers. Not until he talks to his childhood friend does he realize his desperate need for wisdom and direction. Ultimately, his journey leads him to an isolated beach where God makes Dayne’s future as clear as the waters of Cancún. But can he live with the decision God places before him? A Stunning Discovery Landon and Ashley Blake are celebrating the happiest days of their lives, enjoying Cole and their newborn son. But Ashley cannot find peace until she finds her older brother—the firstborn Baxter sibling. Her constant questions to her father, John Baxter, have netted nothing. Now she receives news that rocks her world and threatens to end her search in heartbreaking finality. The Firstborn series is the second installment in the continuing Baxter Family Drama from America’s number one inspirational novelist, Karen Kingsbury. Revisit the Baxter family in all their life-changing events, or share the series with someone who hasn’t discovered it yet.",http://books.google.com/books/content?id=hT312Hh35CIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Kindred Spirits,Allison Lane,On My Way Up LLC,2002,,https://openlibrary.org/works/OL5684530W,250,,"Spirit. Fire. Water. Earth. Air. Rory Roosevelt inherited some of her family's paranormal gifts, including the ability to interact with ghosts. She assists every murdered person who appears seeking help, even ones like snarky socialite Astrid Haas. As if attempting to help Astrid discover the identity of her killer, running Nostalgia Road Bed & Breakfast, and maintaining her web design business weren't enough to keep her busy, sweet but sassy Rory unexpectedly finds herself in the company of Caden Brody, a mercenary of sorts who eliminates murderers who can't be legally brought to justice. He and his four brothers, all adopted, have dedicated their lives to their cause, not examining their origins too closely or planning for their futures. Connecting their families' pasts, Rory and Caden realize that they must unite with Beck, David, Sawyer, and Thorn, Caden's brothers, in order to stop Astrid's killer, a megalomaniac who dreams of ruling the world by unleashing a terrible evil. Each Brody brother possesses a paranormal talent that represents a key component to the success of their mission, but Rory and Caden are the essential elements in a life-and-death struggle that will determine their survival and the opportunity for them to enjoy a lifetime of love.",http://books.google.com/books/content?id=vukszgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
