Title,Matched Title,Author(s),Series,Publisher,Publish Year,ISBN,OL Work Key
The Dragons at War,The dragons at war,Margaret Weis,,,1996,,https://openlibrary.org/works/OL22631305W
The Gully Dwarves,"The Gully Dwarves (Dragonlance Lost Histories, Vol. 5)",Dan Parkinson,,,1996,,https://openlibrary.org/works/OL4323257W
Murder in Tarsis,Murder in Tarsis,John Maddox Roberts,,,1996,,https://openlibrary.org/works/OL743168W
Knights of the Rose,Knights of the rose,Roland Green,,,1996,,https://openlibrary.org/works/OL23574627W
The Dawning of a New Age,The dawning of a new age,Jean Rabe,,,2002,,https://openlibrary.org/works/OL523393W
The Dragons,The Book of Dragons,Edith Nesbit,,,1973,,https://openlibrary.org/works/OL99529W
The Doom Brigade,The Doom Brigade,Margaret Weis,,,1996,,https://openlibrary.org/works/OL15108272W
The Dragons of Chaos,The Dragons of Chaos,Margaret Weis,,,1997,,https://openlibrary.org/works/OL15108275W
Theros Ironfeld,Theros Ironfeld,Don Perrin,,,2000,,https://openlibrary.org/works/OL8166153W
Lord Soth,Lord Soth,Edo Van Belkom,,,1996,,https://openlibrary.org/works/OL729837W
The Wayward Knights,Not Found,Not Found,,Not Found,Not Found,Not Found,Not Found
Vinas Solamnus,Vinas Solamnus,J. Robert King,,,1997,,https://openlibrary.org/works/OL15288299W
Fistandantilus Reborn,Fistandantilus Reborn,Douglas Niles,,,1997,,https://openlibrary.org/works/OL1635376W
The Day of the Tempest,The day of the tempest,Jean Rabe,,,1997,,https://openlibrary.org/works/OL523428W
The Soulforge,The Soulforge,"Margaret Weis, Tracy Hickman",,,1997,,https://openlibrary.org/works/OL15108271W
The Eve of the Maelstrom,The eve of the maelstrom,Jean Rabe,,,2002,,https://openlibrary.org/works/OL523405W
Tales of Uncle Trapspringer,Not Found,Not Found,,Not Found,Not Found,Not Found,Not Found
Relics and Omens,Not Found,Not Found,,Not Found,Not Found,Not Found,Not Found
The Last Thane,The Last Thane,Douglas Niles,,,1998,,https://openlibrary.org/works/OL1635389W
Spirit of the Wind,Spirit of the wind,Keith Collie,,,1982,,https://openlibrary.org/works/OL5562647W
Tears of the Night Sky,Tears of the Night Sky,"Linda Baker, Nancy Varian Berberick",,,1998,,https://openlibrary.org/works/OL29278474W
Legacy of Steel,Legacy of steel,Mary H. Herbert,,,1998,,https://openlibrary.org/works/OL4323300W
The Silver Stair,The silver stair,Jean Rabe,,,1999,,https://openlibrary.org/works/OL523424W
The Puppet King,The Puppet King,Douglas Niles,,,1999,,https://openlibrary.org/works/OL1635403W
The Rose and the Skull,"The Rose and the Skull (Dragonlance Bridges of Time, Vol. 4)",Jeff Crook,,,1999,,https://openlibrary.org/works/OL6039766W
Reavers of the Blood Sea,Reavers of the Blood Sea,Richard A. Knaak,,,1999,,https://openlibrary.org/works/OL2992974W
Dezra’s Quest,"Dezra's Quest (Dragonlance Bridges of Time, Vol. 5)",Chris Pierson,,,1999,,https://openlibrary.org/works/OL5739906W
The Odyssey of Gilthanas,The Odyssey of Gilthanas,Douglas Niles,,,1999,,https://openlibrary.org/works/OL1635399W
Brothers in Arms,Brothers in Arms,Lois McMaster Bujold,,,1989,,https://openlibrary.org/works/OL56884W
